Sensor Name,Sensor Type,Communication Protocol,I2C Compatible,SPI Compatible,Operating Voltage,Temperature Range,Accuracy,Cost (USD),Target Environment,Package Type,Description
DHT22,Temperature/Humidity,1-Wire,No,No,3.3-5V,-40 to 80°C,±0.5°C / ±2%RH,3.5,Indoor/Outdoor,Through-hole,The DHT22 is a Temperature/Humidity sensor that communicates via 1-Wire. It supports 3.3-5V supply voltage and operates across -40 to 80°C. Accuracy is ±0.5°C / ±2%RH. It is well-suited for Indoor/Outdoor applications. Cost: approximately $3.5 USD. Package: Through-hole. I2C: No. SPI: No.
DHT11,Temperature/Humidity,1-Wire,No,No,3.3-5V,0 to 50°C,±2°C / ±5%RH,1.5,Indoor,Through-hole,The DHT11 is a Temperature/Humidity sensor that communicates via 1-Wire. It supports 3.3-5V supply voltage and operates across 0 to 50°C. Accuracy is ±2°C / ±5%RH. It is well-suited for Indoor applications. Cost: approximately $1.5 USD. Package: Through-hole. I2C: No. SPI: No.
SHT31,Temperature/Humidity,I2C,Yes,No,2.4-5.5V,-40 to 125°C,±0.3°C / ±2%RH,4.5,Industrial,SMD,The SHT31 is a Temperature/Humidity sensor that communicates via I2C. It supports 2.4-5.5V supply voltage and operates across -40 to 125°C. Accuracy is ±0.3°C / ±2%RH. It is well-suited for Industrial applications. Cost: approximately $4.5 USD. Package: SMD. I2C: Yes. SPI: No.
SHT40,Temperature/Humidity,I2C,Yes,No,1.8-3.6V,-40 to 125°C,±0.2°C / ±1.8%RH,5.0,Indoor/Industrial,SMD,The SHT40 is a Temperature/Humidity sensor that communicates via I2C. It supports 1.8-3.6V supply voltage and operates across -40 to 125°C. Accuracy is ±0.2°C / ±1.8%RH. It is well-suited for Indoor/Industrial applications. Cost: approximately $5.0 USD. Package: SMD. I2C: Yes. SPI: No.
AHT21,Temperature/Humidity,I2C,Yes,No,2.0-5.5V,-40 to 85°C,±0.3°C / ±2%RH,2.0,Indoor,SMD,The AHT21 is a Temperature/Humidity sensor that communicates via I2C. It supports 2.0-5.5V supply voltage and operates across -40 to 85°C. Accuracy is ±0.3°C / ±2%RH. It is well-suited for Indoor applications. Cost: approximately $2.0 USD. Package: SMD. I2C: Yes. SPI: No.
BME280,Temperature/Pressure/Humidity,I2C/SPI,Yes,Yes,1.8-3.6V,-40 to 85°C,±1 hPa / ±3%RH,4.0,Indoor/Weather,SMD,The BME280 is a Temperature/Pressure/Humidity sensor that communicates via I2C/SPI. It supports 1.8-3.6V supply voltage and operates across -40 to 85°C. Accuracy is ±1 hPa / ±3%RH. It is well-suited for Indoor/Weather applications. Cost: approximately $4.0 USD. Package: SMD. I2C: Yes. SPI: Yes.
BMP388,Pressure/Altitude,I2C/SPI,Yes,Yes,1.65-3.6V,-40 to 85°C,±0.2 hPa,5.5,Drone/UAV,SMD,The BMP388 is a Pressure/Altitude sensor that communicates via I2C/SPI. It supports 1.65-3.6V supply voltage and operates across -40 to 85°C. Accuracy is ±0.2 hPa. It is well-suited for Drone/UAV applications. Cost: approximately $5.5 USD. Package: SMD. I2C: Yes. SPI: Yes.
BMP180,Pressure/Altitude,I2C,Yes,No,1.8-3.6V,0 to 65°C,±1 hPa,2.0,Indoor/Weather,SMD,The BMP180 is a Pressure/Altitude sensor that communicates via I2C. It supports 1.8-3.6V supply voltage and operates across 0 to 65°C. Accuracy is ±1 hPa. It is well-suited for Indoor/Weather applications. Cost: approximately $2.0 USD. Package: SMD. I2C: Yes. SPI: No.
MS5611,Pressure/Altitude,I2C/SPI,Yes,Yes,1.8-3.6V,-40 to 85°C,±1.5 mbar,8.0,Aviation/Drone,SMD,The MS5611 is a Pressure/Altitude sensor that communicates via I2C/SPI. It supports 1.8-3.6V supply voltage and operates across -40 to 85°C. Accuracy is ±1.5 mbar. It is well-suited for Aviation/Drone applications. Cost: approximately $8.0 USD. Package: SMD. I2C: Yes. SPI: Yes.
MPU6050,Accelerometer/Gyroscope,I2C,Yes,No,2.3-3.4V,-40 to 85°C,±0.1°/s gyro,3.0,Robotics/Wearable,SMD,The MPU6050 is a Accelerometer/Gyroscope sensor that communicates via I2C. It supports 2.3-3.4V supply voltage and operates across -40 to 85°C. Accuracy is ±0.1°/s gyro. It is well-suited for Robotics/Wearable applications. Cost: approximately $3.0 USD. Package: SMD. I2C: Yes. SPI: No.
MPU9250,9-DOF IMU,I2C/SPI,Yes,Yes,2.4-3.6V,-40 to 85°C,±0.01 dps gyro,7.0,Robotics/Drone,SMD,The MPU9250 is a 9-DOF IMU sensor that communicates via I2C/SPI. It supports 2.4-3.6V supply voltage and operates across -40 to 85°C. Accuracy is ±0.01 dps gyro. It is well-suited for Robotics/Drone applications. Cost: approximately $7.0 USD. Package: SMD. I2C: Yes. SPI: Yes.
BMI088,Accelerometer/Gyroscope,I2C/SPI,Yes,Yes,1.7-3.6V,-40 to 85°C,±0.004°/s gyro,6.5,Industrial/Drone,SMD,The BMI088 is a Accelerometer/Gyroscope sensor that communicates via I2C/SPI. It supports 1.7-3.6V supply voltage and operates across -40 to 85°C. Accuracy is ±0.004°/s gyro. It is well-suited for Industrial/Drone applications. Cost: approximately $6.5 USD. Package: SMD. I2C: Yes. SPI: Yes.
